Power (kw),Power-1,Temp.(ºC),SolarRad(W/m2),Holiday,Weekend,Hour,Sin_hour
153.64713,162.2650575,12.74,0.12925,0,0,21,3.987708489420121
149.4990133,153.64713,12.852857142857143,0.11857142857142858,0,0,22,1.4783290016340547
163.5493223,149.4990133,12.848181818181816,39.305454545454545,0,0,7,0.0
224.6645037,163.5493223,12.956666666666665,94.395,0,0,8,0.0
277.6663799,224.6645037,13.058333333333335,256.8583333333333,0,0,9,0.0
309.822604,277.6663799,12.848333333333334,341.94166666666666,0,0,10,0.0
314.3326004,309.822604,13.783333333333333,573.0333333333333,0,0,11,1.1317961645591699
305.6629758,314.3326004,14.479166666666666,648.1083333333333,0,0,12,3.6647912925192827
292.0473829,305.6629758,14.72875,855.0875,0,0,13,5.948036950248172
305.3144913,292.0473829,14.577000000000002,441.43,0,0,14,7.825933719413469
307.5866521,305.3144913,14.946666666666667,524.9666666666667,0,0,15,9.170506038567703
297.166233,307.5866521,13.847499999999998,345.5333333333333,0,0,16,9.89012352617133
274.0542805,297.166233,13.3125,200.00333333333333,0,0,17,9.935745439668286
248.7231201,274.0542805,12.25,21.437916666666666,0,0,18,9.304262721047534
215.1040983,248.7231201,11.898333333333333,1.4425,0,0,19,8.038709874008541
176.8934531,215.1040983,11.693333333333333,2.1254166666666667,0,0,20,6.225332233652053
162.6003561,176.8934531,11.402499999999998,1.7055833333333332,0,0,21,3.987708489420121
153.6894086,162.6003561,11.205,2.0953333333333335,0,0,22,1.4783290016340547
149.5149201,153.6894086,11.155833333333334,1.9455833333333334,0,0,23,0.0
145.6713349,149.5149201,11.103333333333333,1.987,0,0,0,0.0
144.1733748,145.6713349,10.728333333333333,1.4976666666666667,0,0,1,0.0
150.3125624,144.1733748,10.87,1.4956666666666667,0,0,2,0.0
148.1712141,150.3125624,11.158333333333333,1.76325,0,0,3,0.0
147.8225203,148.1712141,11.101666666666667,1.0315833333333335,0,0,4,0.0
153.0845316,147.8225203,10.966666666666667,1.1538333333333333,0,0,5,0.0
162.7027038,153.0845316,11.121666666666668,5.398416666666667,0,0,6,0.0
191.3784782,162.7027038,11.415,76.8575,0,0,7,0.0
230.818133,191.3784782,12.349166666666667,264.44166666666666,0,0,8,0.0
295.4692286,230.818133,11.470833333333333,181.9333333333333,0,0,9,0.0
320.9674104,295.4692286,11.339999999999998,300.95,0,0,10,0.0
330.4047474,320.9674104,11.295,341.51666666666665,0,0,11,1.1317961645591699
327.809846,330.4047474,12.441666666666668,658.9166666666666,0,0,12,3.6647912925192827
305.7479516,327.809846,12.346666666666666,558.625,0,0,13,5.948036950248172
317.845073,305.7479516,11.624166666666667,713.25,0,0,14,7.825933719413469
315.9201409,317.845073,11.498333333333335,479.23333333333335,0,0,15,9.170506038567703
318.6479478,315.9201409,10.691666666666668,301.05,0,0,16,9.89012352617133
283.3225031,318.6479478,10.463333333333333,204.4416666666667,0,0,17,9.935745439668286
244.1545197,283.3225031,9.753333333333332,25.256083333333333,0,0,18,9.304262721047534
207.1255823,244.1545197,8.891666666666667,0.8355,0,0,19,8.038709874008541
165.0022829,207.1255823,8.108333333333333,0.9095833333333333,0,0,20,6.225332233652053
157.5145754,165.0022829,8.044166666666667,0.66025,0,0,21,3.987708489420121
151.459945,157.5145754,8.145833333333334,0.6925,0,0,22,1.4783290016340547
149.5722683,151.459945,8.435,0.6023333333333333,0,0,23,0.0
147.2427593,149.5722683,6.850583333333333,0.6024166666666667,0,0,0,0.0
146.9256698,147.2427593,6.792999999999999,0.5565,0,0,1,0.0
146.6238592,146.9256698,7.7875000000000005,0.508,0,0,2,0.0
